Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10nF","C_0402_1005Metric",76.654500,20.104200,90.000000,top
"C2","10nF","C_0402_1005Metric",67.066000,10.272000,180.000000,top
"C3","100nF","C_0402_1005Metric",61.478000,12.202400,270.000000,top
"C4","4.7uF","C_0603_1608Metric",62.875000,12.735800,270.000000,top
"C5","100nF","C_0402_1005Metric",59.827000,13.243800,180.000000,top
"C6","4.7uF","C_0603_1608Metric",60.385800,14.717000,180.000000,top
"C7","100nF","C_0402_1005Metric",7.249000,43.101500,0.000000,top
"C8","100nF","C_0402_1005Metric",7.249000,41.958500,0.000000,top
"C9","100nF","C_0402_1005Metric",12.202000,47.292500,0.000000,top
"C10","100nF","C_0402_1005Metric",12.225000,48.499000,0.000000,top
"L1","Ferrite Bead","L_0805_2012Metric",66.608800,12.304000,0.000000,top
"Q1","AO3401A","SOT-23",12.964000,44.816000,0.000000,top
"Q2","AO3401A","SOT-23",8.011000,39.482000,0.000000,top
"Q3","AO3400A","SOT-23",13.027500,36.815000,0.000000,top
"Q4","S8050","SOT-23",25.994200,47.203600,0.000000,top
"R1","1M","R_0402_1005Metric",77.924500,20.127200,270.000000,top
"R2","1K","R_0402_1005Metric",56.753600,13.701000,90.000000,top
"R3","10K","R_0402_1005Metric",23.555800,48.016400,90.000000,top
"R4","10K","R_0402_1005Metric",29.651800,46.746400,270.000000,top
"R5","10K","R_0402_1005Metric",28.483400,46.746400,90.000000,top
"R6","1K","R_0402_1005Metric",14.488000,42.149000,180.000000,top
"R7","1K","R_0402_1005Metric",9.535000,36.815000,180.000000,top
"R8","10K","R_0402_1005Metric",9.471500,35.545000,180.000000,top
"U1","CP2102N","SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm",58.506200,10.246600,90.000000,top
"U2","SRV05-4","SOT-23-6",67.447000,7.605000,270.000000,top
